TABLE NO.  1
 PRED        IPRED
  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00
  2.6086E+00  3.0575E+00
  2.2678E+00  2.9213E+00
  1.8714E+00  2.6039E+00
  1.5398E+00  2.3090E+00
  1.2667E+00  2.0466E+00
  1.0421E+00  1.8141E+00
  8.5729E-01  1.6079E+00
  7.0526E-01  1.4252E+00
  5.8020E-01  1.2632E+00
  4.7731E-01  1.1196E+00
  3.9266E-01  9.9239E-01
  3.2303E-01  8.7960E-01
  2.6575E-01  7.7964E-01
  2.1862E-01  6.9103E-01
  1.7985E-01  6.1250E-01
  1.4796E-01  5.4289E-01
  1.2172E-01  4.8119E-01
  1.0013E-01  4.2651E-01
  8.2377E-02  3.7803E-01
  6.7769E-02  3.3507E-01
  5.5751E-02  2.9699E-01
  4.5864E-02  2.6324E-01
  3.7731E-02  2.3332E-01
  3.1040E-02  2.0681E-01
  3.1040E-02  2.0681E-01
  1.3298E+00  1.7120E+00
  1.1549E+00  1.6231E+00
  9.5296E-01  1.4460E+00
  7.8410E-01  1.2821E+00
  6.4506E-01  1.1365E+00
  5.3067E-01  1.0073E+00
  4.3656E-01  8.9283E-01
  3.5914E-01  7.9136E-01
  2.9546E-01  7.0142E-01
  2.4306E-01  6.2171E-01
  1.9996E-01  5.5105E-01
  1.6450E-01  4.8842E-01
  1.3533E-01  4.3292E-01
  1.1133E-01  3.8372E-01
  9.1586E-02  3.4011E-01
  7.5345E-02  3.0145E-01
  6.1984E-02  2.6720E-01
  5.0992E-02  2.3683E-01
  4.1949E-02  2.0991E-01
  3.4510E-02  1.8606E-01
  2.8390E-02  1.6491E-01
  2.3356E-02  1.4617E-01
  1.9214E-02  1.2956E-01
  1.5807E-02  1.1483E-01
  1.3173E+00  1.6305E+00
  1.1446E+00  1.5509E+00
  9.4448E-01  1.3819E+00
  7.7712E-01  1.2254E+00
  6.3932E-01  1.0861E+00
  5.2595E-01  9.6271E-01
  4.3268E-01  8.5330E-01
  3.5595E-01  7.5632E-01
  2.9283E-01  6.7037E-01
  2.4090E-01  5.9418E-01
  1.9818E-01  5.2665E-01
  1.6303E-01  4.6680E-01
  1.3412E-01  4.1375E-01
  1.1034E-01  3.6673E-01
  9.0771E-02  3.2505E-01
  7.4674E-02  2.8811E-01
  6.1432E-02  2.5537E-01
  5.0538E-02  2.2634E-01
  4.1576E-02  2.0062E-01
  3.4203E-02  1.7782E-01
  2.8138E-02  1.5761E-01
  2.3148E-02  1.3970E-01
  1.9043E-02  1.2382E-01
  1.5666E-02  1.0975E-01
  1.3172E+00  1.6260E+00
  1.1445E+00  1.5469E+00
  9.4440E-01  1.3784E+00
  7.7706E-01  1.2222E+00
  6.3927E-01  1.0834E+00
  5.2590E-01  9.6024E-01
  4.3264E-01  8.5111E-01
  3.5592E-01  7.5439E-01
  2.9280E-01  6.6865E-01
  2.4088E-01  5.9266E-01
  1.9816E-01  5.2531E-01
  1.6302E-01  4.6561E-01
  1.3411E-01  4.1269E-01
  1.1033E-01  3.6579E-01
  9.0764E-02  3.2422E-01
  7.4668E-02  2.8737E-01
  6.1427E-02  2.5471E-01
  5.0534E-02  2.2576E-01
  4.1572E-02  2.0011E-01
  3.4200E-02  1.7737E-01
  2.8135E-02  1.5721E-01
  2.3146E-02  1.3934E-01
  1.9041E-02  1.2351E-01
  1.5665E-02  1.0947E-01
  1.3172E+00  1.6258E+00
  1.1445E+00  1.5467E+00
  9.4440E-01  1.3782E+00
  7.7706E-01  1.2221E+00
  6.3927E-01  1.0832E+00
  5.2590E-01  9.6011E-01
  4.3264E-01  8.5099E-01
  3.5592E-01  7.5428E-01
  2.9280E-01  6.6856E-01
  2.4088E-01  5.9258E-01
